Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A401030000AC48000022267,Safe/Connex,"Tozmoz, Magic Melon, Cannabis Derived Terpenes",Concentrate,20.4,,NotSubmitted,,-20.4,11/16/2021
1A401030000AC48000022300,Safe/Connex,"Tozmoz, Sunset Sherbert, THCA",Extracts,214,,TestPassed,,-214,11/17/2021
1A401030000AC48000022355,Lab Area,VTA - 169 - Main,Concentrate,911,,NotSubmitted,,-911,11/18/2021
1A401030000AC48000022368,Lab Area,"Tozmoz, Ultra Violet Trainwreck (Ultra Violet x Purple Trainwreck), Live Resin, Sauce & Diamonds",Extracts,696.4,,TestPassed,,-696.4,11/18/2021
1A401030000AC48000022369,Lab Area,"Tozmoz, Drank Del Diablo (Diablo Rojo x Grape Drank), Live Resin, Sauce & Diamonds",Extracts,471,,TestPassed,,-471,11/18/2021
1A401030000AC48000022370,Lab Area,"Tozmoz, Lemon Kush, Live Resin, Sauce & Diamonds",Extracts,1031,,TestPassed,,-1031,11/18/2021
1A401030000AC48000022371,Lab Area,"Tozmoz, Lemon Apricot, Live Resin, Sauce & Diamonds",Extracts,841,,TestPassed,,-841,11/18/2021
1A401030000AC48000022372,Lab Area,"Tozmoz, Blueberry Diesel x Triple OG, Live Resin, Sauce & Diamonds",Extracts,1578,,TestPassed,,-1578,11/18/2021
1A401030000AC48000022379,Lab Area,"Tozmoz, 9lb Funky Town (9lb Hammer x First Class Funk), Live Resin, Badder",Extracts,258.6,,TestPassed,,-258.6,11/18/2021
1A401030000AC48000022380,Lab Area,"Jackpot, Wrath of God, Distillate",Concentrate,455.7,,TestPassed,,-455.7,11/18/2021
1A401030000AC48000022381,Lab Area,"Jackpot, Pink Pixie, Distillate",Concentrate,502.5,,TestPassed,,-502.5,11/18/2021
1A401030000AC48000022382,Lab Area,"Jackpot, 9lb Hammer , Distillate",Concentrate,498.3,,TestPassed,,-498.3,11/18/2021
1A401030000AC48000022383,Lab Area,"Jackpot, Grape OG, Distillate",Concentrate,509.3,,TestPassed,,-509.3,11/18/2021
1A401030000AC48000022384,Lab Area,"Jackpot, Lemon Apricot, Distillate",Concentrate,500.7,,TestPassed,,-500.7,11/18/2021
1A401030000AC48000022385,Lab Area,"Jackpot, Banner , Distillate",Concentrate,493.5,,TestPassed,,-493.5,11/18/2021
1A401030000AC48000022386,Lab Area,"Jackpot, Pineapple Express, Distillate",Concentrate,494.7,,TestPassed,,-494.7,11/18/2021
1A401030000AC48000022391,Lab Area,"Tozmoz, Chem Rush, Live Resin, Sauce & Diamonds",Extracts,1879,,TestPassed,,-1879,11/18/2021
1A401030000AC48000022422,Lab Area,"Tozmoz, Lemon Wookie, Cannabis Derived Terpenes",Concentrate,52.6,,NotSubmitted,,-52.6,11/19/2021
